Messages Recieved,Out of Order Messages,Messages per Second,Median Intermessage Gap,Topic,Analyser QoS
722728,0.009,12043.533,0.028,counter/1/0/0,0
262140,0,4369,0.062,counter/1/1/0,0
235608,0,3926.667,0.085,counter/1/2/0,0
35932,0,598.867,0.051,counter/1/0/1,0
36348,0,605.8,0.061,counter/1/1/1,0
36416,0,606.933,0.078,counter/1/2/1,0
21680,0,361.333,0.026,counter/1/0/2,0
21792,0,363.2,0.06,counter/1/1/2,0
21460,0,357.667,0.098,counter/1/2/2,0
12112,0,201.867,0.029,counter/1/0/4,0
12164,0,202.733,0.058,counter/1/1/4,0
12216,0,203.6,0.081,counter/1/2/4,0
541556,0.002,9025.533,0.027,counter/2/0/0,0
417700,0.007,6961.667,0.048,counter/2/1/0,0
238720,0,3978.533,0.084,counter/2/2/0,0
36668,0,611.133,0.026,counter/2/0/1,0
36400,0,606.667,0.06,counter/2/1/1,0
36200,0,603.333,0.084,counter/2/2/1,0
21428,0,357.133,0.026,counter/2/0/2,0
21264,0,354.4,0.061,counter/2/1/2,0
21332,0,355.533,0.095,counter/2/2/2,0
12112,0,201.867,0.026,counter/2/0/4,0
12132,0,202.2,0.06,counter/2/1/4,0
12168,0,202.8,0.08,counter/2/2/4,0
746860,0.003,12447.667,0.027,counter/3/0/0,0
262140,0,4369,0.061,counter/3/1/0,0
192240,0,3203.6,0.104,counter/3/2/0,0
36732,0,612.2,0.027,counter/3/0/1,0
36416,0,606.933,0.063,counter/3/1/1,0
36460,0,607.667,0.102,counter/3/2/1,0
21636,0,360.6,0.03,counter/3/0/2,0
21516,0,358.6,0.062,counter/3/1/2,0
21688,0,361.467,0.106,counter/3/2/2,0
12156,0,202.6,0.03,counter/3/0/4,0
12184,0,203.067,0.061,counter/3/1/4,0
12168,0,202.8,0.108,counter/3/2/4,0
724440,0,12073.8,0.028,counter/4/0/0,0
1070420,0.001,17839.867,0.04,counter/4/1/0,0
138560,0,2309.333,0.144,counter/4/2/0,0
36564,0,609.4,0.054,counter/4/0/1,0
36456,0,607.6,0.077,counter/4/1/1,0
36664,0,611.067,0.139,counter/4/2/1,0
21664,0,361.067,0.03,counter/4/0/2,0
21704,0,361.733,0.073,counter/4/1/2,0
21592,0,359.867,0.139,counter/4/2/2,0
