Counter,Topic,Analyser QoS
3580312,counter/1/0/0,0
10408160,counter/1/1/0,0
10166104,counter/1/2/0,0
35932,counter/1/0/1,0
36348,counter/1/1/1,0
36416,counter/1/2/1,0
21680,counter/1/0/2,0
21792,counter/1/1/2,0
21460,counter/1/2/2,0
12112,counter/1/0/4,0
12164,counter/1/1/4,0
12216,counter/1/2/4,0
3882072,counter/2/0/0,0
10030576,counter/2/1/0,0
10076140,counter/2/2/0,0
36668,counter/2/0/1,0
36400,counter/2/1/1,0
36200,counter/2/2/1,0
21428,counter/2/0/2,0
21264,counter/2/1/2,0
21332,counter/2/2/2,0
12112,counter/2/0/4,0
12132,counter/2/1/4,0
12168,counter/2/2/4,0
3784664,counter/3/0/0,0
9881064,counter/3/1/0,0
9668908,counter/3/2/0,0
36732,counter/3/0/1,0
36416,counter/3/1/1,0
36460,counter/3/2/1,0
21636,counter/3/0/2,0
21516,counter/3/1/2,0
21688,counter/3/2/2,0
12156,counter/3/0/4,0
12184,counter/3/1/4,0
12168,counter/3/2/4,0
3186104,counter/4/0/0,0
9402904,counter/4/1/0,0
9495100,counter/4/2/0,0
36564,counter/4/0/1,0
36456,counter/4/1/1,0
36664,counter/4/2/1,0
21664,counter/4/0/2,0
21704,counter/4/1/2,0
21592,counter/4/2/2,0
12152,counter/4/0/4,0
12148,counter/4/1/4,0
12240,counter/4/2/4,0
3168080,counter/5/0/0,0
9240156,counter/5/1/0,0
9279044,counter/5/2/0,0
36276,counter/5/0/1,0
36424,counter/5/1/1,0
36556,counter/5/2/1,0
21632,counter/5/0/2,0
21472,counter/5/1/2,0
21492,counter/5/2/2,0
12140,counter/5/0/4,0
12136,counter/5/1/4,0
12080,counter/5/2/4,0
3999412,counter/1/0/0,1
10633704,counter/1/1/0,1
10603932,counter/1/2/0,1
36260,counter/1/0/1,1
36408,counter/1/1/1,1
36404,counter/1/2/1,1
21596,counter/1/0/2,1
21616,counter/1/1/2,1
21732,counter/1/2/2,1
12180,counter/1/0/4,1
12188,counter/1/1/4,1
12204,counter/1/2/4,1
3729372,counter/2/0/0,1
10260392,counter/2/1/0,1
10298056,counter/2/2/0,1
36312,counter/2/0/1,1
36492,counter/2/1/1,1
36068,counter/2/2/1,1
21580,counter/2/0/2,1
21604,counter/2/1/2,1
21620,counter/2/2/2,1
12156,counter/2/0/4,1
12144,counter/2/1/4,1
12184,counter/2/2/4,1
3713212,counter/3/0/0,1
10184944,counter/3/1/0,1
10196208,counter/3/2/0,1
36444,counter/3/0/1,1
36412,counter/3/1/1,1
36504,counter/3/2/1,1
21644,counter/3/0/2,1
21636,counter/3/1/2,1
21568,counter/3/2/2,1
12136,counter/3/0/4,1
12196,counter/3/1/4,1
12200,counter/3/2/4,1
3255044,counter/4/0/0,1
9602088,counter/4/1/0,1
9563436,counter/4/2/0,1
36660,counter/4/0/1,1
36280,counter/4/1/1,1
36332,counter/4/2/1,1
21572,counter/4/0/2,1
21660,counter/4/1/2,1
21524,counter/4/2/2,1
12104,counter/4/0/4,1
12188,counter/4/1/4,1
12164,counter/4/2/4,1
3099568,counter/5/0/0,1
9091896,counter/5/1/0,1
9342088,counter/5/2/0,1
36016,counter/5/0/1,1
36104,counter/5/1/1,1
36244,counter/5/2/1,1
21528,counter/5/0/2,1
21488,counter/5/1/2,1
21412,counter/5/2/2,1
12068,counter/5/0/4,1
12092,counter/5/1/4,1
12116,counter/5/2/4,1
4168104,counter/1/0/0,2
10618556,counter/1/1/0,2
10800372,counter/1/2/0,2
36212,counter/1/0/1,2
36292,counter/1/1/1,2
36772,counter/1/2/1,2
21616,counter/1/0/2,2
21524,counter/1/1/2,2
21656,counter/1/2/2,2
12216,counter/1/0/4,2
12200,counter/1/1/4,2
12160,counter/1/2/4,2
4104924,counter/2/0/0,2
9963192,counter/2/1/0,2
10051136,counter/2/2/0,2
35904,counter/2/0/1,2
36360,counter/2/1/1,2
36680,counter/2/2/1,2
21492,counter/2/0/2,2
21580,counter/2/1/2,2
21668,counter/2/2/2,2
12196,counter/2/0/4,2
12164,counter/2/1/4,2
12116,counter/2/2/4,2
3619412,counter/3/0/0,2
9892420,counter/3/1/0,2
10188188,counter/3/2/0,2
35884,counter/3/0/1,2
36012,counter/3/1/1,2
36176,counter/3/2/1,2
21548,counter/3/0/2,2
21516,counter/3/1/2,2
21584,counter/3/2/2,2
12136,counter/3/0/4,2
12156,counter/3/1/4,2
12136,counter/3/2/4,2
3147032,counter/4/0/0,2
9469760,counter/4/1/0,2
9429436,counter/4/2/0,2
35760,counter/4/0/1,2
35504,counter/4/1/1,2
35468,counter/4/2/1,2
21420,counter/4/0/2,2
21432,counter/4/1/2,2
21644,counter/4/2/2,2
12128,counter/4/0/4,2
12100,counter/4/1/4,2
12128,counter/4/2/4,2
2978780,counter/5/0/0,2
9136880,counter/5/1/0,2
9408740,counter/5/2/0,2
35508,counter/5/0/1,2
35780,counter/5/1/1,2
35880,counter/5/2/1,2
21368,counter/5/0/2,2
21428,counter/5/1/2,2
21476,counter/5/2/2,2
12092,counter/5/0/4,2
12100,counter/5/1/4,2
12100,counter/5/2/4,2

