Topic,Messages Received / sec,Messages Dropped %
counter/1/0/0,59671.87,48.02
counter/1/1/0,4369.2,0
counter/1/2/0,4369.2,0
counter/1/0/1,599.07,0
counter/1/1/1,606,0
counter/1/2/1,607.13,0
counter/1/0/2,361.53,0
counter/1/1/2,363.4,0
counter/1/2/2,357.87,0
counter/1/0/4,202.07,0
counter/1/1/4,202.73,0
counter/1/2/4,203.8,0
counter/2/0/0,22939.03,14.51
counter/2/1/0,45725.77,24.29
counter/2/2/0,4063,0
counter/2/0/1,611.33,0
counter/2/1/1,606.43,0
counter/2/2/1,603.03,0
counter/2/0/2,357.13,0
counter/2/1/2,354.7,0
counter/2/2/2,355.5,0
counter/2/0/4,201.77,0
counter/2/1/4,202.2,0
counter/2/2/4,202.93,0
counter/3/0/0,36829.07,13.74
counter/3/1/0,4369,10.52
counter/3/2/0,2558.96,0
counter/3/0/1,611.33,0
counter/3/1/1,606.58,0
counter/3/2/1,93.89,0
counter/3/0/2,360.93,0
counter/3/1/2,358.78,0
counter/3/2/2,361.67,0
counter/3/0/4,202.69,0
counter/3/1/4,203.16,0
counter/3/2/4,202.82,0
counter/4/0/0,152.12,0
counter/4/1/0,2516.9,0
counter/4/2/0,2511.23,0
counter/4/0/1,2466.58,0
counter/4/1/1,256.07,0
counter/4/2/1,611.23,0
counter/4/0/2,360.85,0
counter/4/1/2,361.38,0
counter/4/2/2,359.62,0
counter/4/0/4,202.73,0
counter/4/1/4,202.6,0
counter/4/2/4,203.92,0
counter/5/0/0,163.13,0
counter/5/1/0,28241.49,0
counter/5/2/0,5160.59,0
counter/5/0/1,604.8,0
counter/5/1/1,606.75,0
counter/5/2/1,609.16,0
counter/5/0/2,360.55,0
counter/5/1/2,358.09,0
counter/5/2/2,357.88,0
counter/5/0/4,202.31,0
counter/5/1/4,202.25,0
counter/5/2/4,201.51,0
counter/1/0/0,25124.6,43.74
counter/1/1/0,45901.67,44.96
counter/1/2/0,4369,0
counter/1/0/1,604.53,0
counter/1/1/1,607,0
counter/1/2/1,606.93,0
counter/1/0/2,360.13,0
counter/1/1/2,360.47,0
counter/1/2/2,362.4,0
counter/1/0/4,203.2,0
counter/1/1/4,203.33,0
counter/1/2/4,203.6,0
counter/2/0/0,34535.6,21.25
counter/2/1/0,4369,0.51
counter/2/2/0,2755.23,0
counter/2/0/1,605.2,0
counter/2/1/1,608.93,0
counter/2/2/1,601.5,0
counter/2/0/2,359.63,0
counter/2/1/2,360.07,0
counter/2/2/2,360.33,0
counter/2/0/4,202.83,0
counter/2/1/4,202.47,0
counter/2/2/4,203.17,0
counter/3/0/0,45679.73,13.04
counter/3/1/0,2669.8,11.71
counter/3/2/0,2772.96,0
counter/3/0/1,2203.47,0
counter/3/1/1,606.56,0
counter/3/2/1,607.67,0
counter/3/0/2,360.49,0
counter/3/1/2,360.73,0
counter/3/2/2,151.33,0
counter/3/0/4,202.36,0
counter/3/1/4,203.27,0
counter/3/2/4,203.47,0
counter/4/0/0,46760.42,9.68
counter/4/1/0,13094.02,3.45
counter/4/2/0,4083.82,0.06
counter/4/0/1,611.17,0
counter/4/1/1,604.72,0
counter/4/2/1,605.45,0
counter/4/0/2,359.2,0
counter/4/1/2,361.05,0
counter/4/2/2,358.88,0
counter/4/0/4,201.85,0
counter/4/1/4,203.12,0
counter/4/2/4,202.68,0
counter/5/0/0,162.15,0
counter/5/1/0,26324.67,0
counter/5/2/0,4853.07,0
counter/5/0/1,1576.29,0
counter/5/1/1,602.17,0
counter/5/2/1,604.32,0
counter/5/0/2,358.91,0
counter/5/1/2,357.95,0
counter/5/2/2,356.97,0
counter/5/0/4,201.13,0
counter/5/1/4,17.33,0
counter/5/2/4,201.99,0
counter/1/0/0,1009.93,0
counter/1/1/0,73837.8,44.51
counter/1/2/0,3462.33,0
counter/1/0/1,603.73,0
counter/1/1/1,605.07,0
counter/1/2/1,612.87,0
counter/1/0/2,360.47,0
counter/1/1/2,358.93,0
counter/1/2/2,361.13,0
counter/1/0/4,203.53,0
counter/1/1/4,203.53,0
counter/1/2/4,202.87,0
counter/2/0/0,101.43,0
counter/2/1/0,3503.1,17.08
counter/2/2/0,1706.23,0
counter/2/0/1,598.43,0
counter/2/1/1,606.53,0
counter/2/2/1,612.07,0
counter/2/0/2,358.67,0
counter/2/1/2,359.73,0
counter/2/2/2,361.23,0
counter/2/0/4,203.4,0
counter/2/1/4,202.87,0
counter/2/2/4,202.13,0
counter/3/0/0,134.76,0
counter/3/1/0,1510.87,0
counter/3/2/0,3436.38,0
counter/3/0/1,1530.96,0
counter/3/1/1,600.69,0
counter/3/2/1,602.73,0
counter/3/0/2,359.29,0
counter/3/1/2,358.44,0
counter/3/2/2,359.8,0
counter/3/0/4,202.33,0
counter/3/1/4,202.51,0
counter/3/2/4,202.22,0
counter/4/0/0,151.67,0
counter/4/1/0,23469.5,0
counter/4/2/0,3840.03,0
counter/4/0/1,1380.5,0
counter/4/1/1,591.28,0
counter/4/2/1,591.25,0
counter/4/0/2,356.97,0
counter/4/1/2,357.38,0
counter/4/2/2,360.7,0
counter/4/0/4,202.25,0
counter/4/1/4,201.7,0
counter/4/2/4,202.13,0
counter/5/0/0,161.71,0
counter/5/1/0,19023.92,0
counter/5/2/0,3466.99,0
counter/5/0/1,1388.41,0
counter/5/1/1,595.64,0
counter/5/2/1,597.12,0
counter/5/0/2,356.12,0
counter/5/1/2,357.13,0
counter/5/2/2,357.88,0
counter/5/0/4,201.55,0
counter/5/1/4,201.68,0
counter/5/2/4,201.63,0
